method,region,configuration_count,seed_count_per_configuration,host_time_median_us_matrix_median,host_time_median_us_matrix_min,host_time_median_us_matrix_max,device_time_median_us_matrix_median,device_time_median_us_matrix_min,device_time_median_us_matrix_max,host_time_share_of_region_sum_matrix_median,host_time_share_of_region_sum_matrix_min,host_time_share_of_region_sum_matrix_max,device_time_share_of_region_sum_matrix_median,device_time_share_of_region_sum_matrix_min,device_time_share_of_region_sum_matrix_max,vjp_calls_total_matrix_median,vjp_calls_total_matrix_min,vjp_calls_total_matrix_max,saved_tensor_bytes_mean_matrix_median,saved_tensor_bytes_mean_matrix_min,saved_tensor_bytes_mean_matrix_max,saved_tensor_bytes_max_matrix_median,saved_tensor_bytes_max_matrix_min,saved_tensor_bytes_max_matrix_max,actual_inference_steps_total_matrix_median,actual_inference_steps_total_matrix_min,actual_inference_steps_total_matrix_max,device_share_rank_within_method
fixedpred,state_inference,16,3,78460.847,26483.8495,211235.544,78432.6200485,26460.4196548,211077.255249,0.699167576768,0.686504372689,0.705026535377,0.717795741413,0.705538718638,0.722680672314,30000,10000,80000,3352832,535040,25733120,3352832,535040,25733120,2500,2500,2500,1
fixedpred,local_state_vjp,16,3,28029.015,9660.7335,75055.956,25232.6350063,8721.26944363,67595.1079801,0.250011351418,0.247257762695,0.252875988323,0.231565053654,0.228351315563,0.235091254816,30000,10000,80000,0,0,0,0,0,0,0,0,0,2
fixedpred,parameter_vjp,16,3,3907.36675,1384.299,10282.5305,3862.7679348,1340.66355228,10235.5680466,0.0349076153319,0.0339073386084,0.03606091763,0.0353784249826,0.0346542807838,0.0359878424267,3000,1000,8000,1943552,299008,17055744,1943552,299008,17055744,0,0,0,3
fixedpred,initial_forward,16,3,1548.5065,785.1795,3491.701,1504.97126579,739.108502865,3450.73449612,0.0142914121052,0.0116114366609,0.0204197441671,0.0142148655067,0.0117727114478,0.0198502144333,250,250,250,2819844,339972,24952836,2819844,339972,24952836,0,0,0,4
fixedpred,optimizer_step,16,3,216.0075,187.4135,302.329,193.091001362,164.56899792,280.030503869,0.00210603472397,0.000992825263907,0.00489134330474,0.00193713539915,0.000941927994254,0.00444285905599,0,0,0,0,0,0,0,0,0,0,0,0,5
strict,state_inference,16,3,196952.9485,56642.387,570292.4305,196926.101685,56569.8947906,570068.786621,0.771777107726,0.766214408781,0.779326356818,0.788350299461,0.782635272219,0.795985846505,60000,20000,160000,40227920,2457680,477757520,40227920,2457680,477757520,5000,5000,5000,1
strict,local_state_vjp,16,3,53188.753,13902.227,151072.347,47853.2495052,12466.6084647,135802.90994,0.205867551426,0.18901937937,0.212618986144,0.189337796593,0.173178205066,0.196112226054,55000,15000,155000,0,0,0,0,0,0,0,0,0,2
strict,parameter_vjp,16,3,3884.6225,1381.944,10129.0555,3838.06753159,1337.43351698,10079.5078278,0.0153817837124,0.0137649203143,0.0190117140668,0.0154953759891,0.0139925378135,0.0188506604786,3000,1000,8000,1943552,299008,17055744,1943552,299008,17055744,0,0,0,3
strict,initial_forward,16,3,1539.47625,788.446,3487.666,1495.70402503,744.823515415,3443.23945045,0.00633993361005,0.00477791232072,0.0109036133785,0.00627299984298,0.00481958828384,0.0105667133183,250,250,250,2819844,339972,24952836,2819844,339972,24952836,0,0,0,4
strict,optimizer_step,16,3,221.45275,187.899,303.587,197.887003422,165.028996766,281.868502498,0.000937852906449,0.00041398834659,0.00262026371358,0.000855652879946,0.000389868648475,0.00237735869735,0,0,0,0,0,0,0,0,0,0,0,0,5
