model_seed,batch_id,state_update_events,output_error_records,mode_comparisons,all_state_updates_passed,all_output_errors_passed,all_mode_comparisons_passed
0,0,100,20,5,True,True,True
0,1,100,20,5,True,True,True
0,2,100,20,5,True,True,True
1,0,100,20,5,True,True,True
1,1,100,20,5,True,True,True
1,2,100,20,5,True,True,True
2,0,100,20,5,True,True,True
2,1,100,20,5,True,True,True
2,2,100,20,5,True,True,True
3,0,100,20,5,True,True,True
3,1,100,20,5,True,True,True
3,2,100,20,5,True,True,True
4,0,100,20,5,True,True,True
4,1,100,20,5,True,True,True
4,2,100,20,5,True,True,True
5,0,100,20,5,True,True,True
5,1,100,20,5,True,True,True
5,2,100,20,5,True,True,True
6,0,100,20,5,True,True,True
6,1,100,20,5,True,True,True
6,2,100,20,5,True,True,True
7,0,100,20,5,True,True,True
7,1,100,20,5,True,True,True
7,2,100,20,5,True,True,True
8,0,100,20,5,True,True,True
8,1,100,20,5,True,True,True
8,2,100,20,5,True,True,True
9,0,100,20,5,True,True,True
9,1,100,20,5,True,True,True
9,2,100,20,5,True,True,True
