model_seed,attempt_id,confirmatory_cell_passed,rec_ma0_cell_passed,obs_ma0_cell_passed,ver_ma0_cell_passed,cost_ma0_cell_passed,cmp_ma0_cell_passed,passing_measured_step_fraction,passing_repetition_fraction,source_git_commit,image_revision,manifest_sha256
0,host-confirmatory-seed-0-736fddb328374baab53bf151107f836e,False,True,True,True,False,True,0.0,0.0,03016e68ecc7a850da7148d676f47acfb07cc99e,03016e68ecc7a850da7148d676f47acfb07cc99e,747fcf88853901d6a9b7f2595f9e5dece6796f35db8da635f25aa283e852cf96
1,host-confirmatory-seed-1-0f9312d9a4c9493d91eed3d678f6b040,False,True,True,True,False,True,0.0,0.0,03016e68ecc7a850da7148d676f47acfb07cc99e,03016e68ecc7a850da7148d676f47acfb07cc99e,1b1233abaa035d2ca85d13a08cc480a573f9426d0cc7c38e860349145a59f673
2,host-confirmatory-seed-2-b6dd692b107d4633b608dc11cf66f93e,False,True,True,True,False,True,0.0,0.0,03016e68ecc7a850da7148d676f47acfb07cc99e,03016e68ecc7a850da7148d676f47acfb07cc99e,275ceabc47df3027e2cf8c539fc1abe3e5f1adf0ae5ef4d98d290817de39d4fe
3,host-confirmatory-seed-3-6a5b12d98ec84c018f7d004f06e09c21,False,True,True,True,False,True,0.0,0.0,03016e68ecc7a850da7148d676f47acfb07cc99e,03016e68ecc7a850da7148d676f47acfb07cc99e,3e85d65c8450cf33ceaca4b50f19ac7532760cf18307ca27ed64bfc29d73f06e
4,host-confirmatory-seed-4-aa05071688814b56a68564a15a68d7d9,False,True,True,True,False,True,0.0,0.0,03016e68ecc7a850da7148d676f47acfb07cc99e,03016e68ecc7a850da7148d676f47acfb07cc99e,8389d8d8aeb045d3c2d9766d0b05505a4558349cfebcccc61df295d4e288ec78
5,host-confirmatory-seed-5-f2c48abf76f4403282da222bed3aba6e,False,True,True,True,False,True,0.0,0.0,03016e68ecc7a850da7148d676f47acfb07cc99e,03016e68ecc7a850da7148d676f47acfb07cc99e,5e437e89a79c01dc2f84a5666ea6d242715531bef18b0fc527e1b2d5cb10c29a
6,host-confirmatory-seed-6-0ef2d5237c84492f81e3e7f3c3496ec2,False,True,True,True,False,True,0.0,0.0,03016e68ecc7a850da7148d676f47acfb07cc99e,03016e68ecc7a850da7148d676f47acfb07cc99e,2c1f85648cf3bfe754e3da5560c471626ce6d7d8444553bea732b97d99dd5c1c
7,host-confirmatory-seed-7-216620dd49614b3898a82492834f89a9,False,True,True,True,False,True,0.0,0.0,03016e68ecc7a850da7148d676f47acfb07cc99e,03016e68ecc7a850da7148d676f47acfb07cc99e,e368c50c5e488d681044f0d5f40e4c8af574a1ad7aa995d226af41ab5d37d5a1
8,host-confirmatory-seed-8-f4dcedfd53aa44baa5da22e5737b9941,False,True,True,True,False,True,0.0,0.0,03016e68ecc7a850da7148d676f47acfb07cc99e,03016e68ecc7a850da7148d676f47acfb07cc99e,87b1afd136ad49c5771e90986d19ce958aae2f36276c72d1cc1aae5936b032dc
9,host-confirmatory-seed-9-8d23d486894e4ddfbc5b3e081db36200,False,True,True,True,False,True,0.0,0.0,03016e68ecc7a850da7148d676f47acfb07cc99e,03016e68ecc7a850da7148d676f47acfb07cc99e,a7f6ac99f9e17e5c9220c97d3fec079e012cc1a62188e0f3085a08d19afe8c50
